"captured_at_utc","captured_at_ist","observed_at_utc","total_reserved_shares","total_confirmed_bids","total_subscription_x","retail_reserved_shares","retail_confirmed_bids","retail_subscription_x","nii_reserved_shares","nii_confirmed_bids","nii_subscription_x","qib_reserved_shares","qib_confirmed_bids","qib_subscription_x"
"2026-08-20T07:06:00Z","2026-08-20 12:36:00 +05:30","2026-08-20T07:19:10.666460Z","15181667.0000","43779500.0000","2.883708","7565834.0000","26396150.0000","3.488862","3242500.0000","17045600.0000","5.256931","4323333.0000","83150.0000","0.019233"
"2026-08-20T07:15:00Z","2026-08-20 12:45:00 +05:30","2026-08-20T07:24:05.306269Z","15181667.0000","45594100.0000","3.003234","7565834.0000","27328150.0000","3.612047","3242500.0000","17918800.0000","5.526230","4323333.0000","86500.0000","0.020008"
"2026-08-20T07:21:00Z","2026-08-20 12:51:00 +05:30","2026-08-20T07:29:16.023218Z","15181667.0000","46704550.0000","3.076378","7565834.0000","27951800.0000","3.694477","3242500.0000","18401950.0000","5.675235","4323333.0000","86500.0000","0.020008"
"2026-08-20T07:24:00Z","2026-08-20 12:54:00 +05:30","2026-08-20T07:34:18.477891Z","15181667.0000","47082200.0000","3.101254","7565834.0000","28106350.0000","3.714904","3242500.0000","18623950.0000","5.743701","4323333.0000","86500.0000","0.020008"
"2026-08-20T07:33:00Z","2026-08-20 13:03:00 +05:30","2026-08-20T07:39:19.671619Z","15181667.0000","48393550.0000","3.187631","7565834.0000","28837250.0000","3.811510","3242500.0000","19196100.0000","5.920154","4323333.0000","87200.0000","0.020170"
"2026-08-20T07:36:00Z","2026-08-20 13:06:00 +05:30","2026-08-20T07:44:24.951680Z","15181667.0000","48922850.0000","3.222495","7565834.0000","29127300.0000","3.849847","3242500.0000","19433450.0000","5.993354","4323333.0000","87200.0000","0.020170"
"2026-08-20T07:42:00Z","2026-08-20 13:12:00 +05:30","2026-08-20T07:49:24.000067Z","15181667.0000","50036950.0000","3.295880","7565834.0000","29760050.0000","3.933479","3242500.0000","19910350.0000","6.140432","4323333.0000","88600.0000","0.020493"
"2026-08-20T07:45:00Z","2026-08-20 13:15:00 +05:30","2026-08-20T07:54:10.260591Z","15181667.0000","50601300.0000","3.333053","7565834.0000","30072200.0000","3.974737","3242500.0000","20160150.0000","6.217471","4323333.0000","88600.0000","0.020493"
"2026-08-20T07:51:00Z","2026-08-20 13:21:00 +05:30","2026-08-20T07:59:35.240910Z","15181667.0000","51733500.0000","3.407630","7565834.0000","30658000.0000","4.052164","3242500.0000","20698800.0000","6.383593","4323333.0000","91950.0000","0.021268"
"2026-08-20T07:54:00Z","2026-08-20 13:24:00 +05:30","2026-08-20T08:04:08.393732Z","15181667.0000","52182700.0000","3.437218","7565834.0000","30904450.0000","4.084738","3242500.0000","20899250.0000","6.445412","4323333.0000","91950.0000","0.021268"
"2026-08-20T08:00:00Z","2026-08-20 13:30:00 +05:30","2026-08-20T08:09:31.058838Z","15181667.0000","53309200.0000","3.511419","7565834.0000","31521500.0000","4.166295","3242500.0000","21399100.0000","6.599568","4323333.0000","96000.0000","0.022205"
"2026-08-20T08:06:00Z","2026-08-20 13:36:00 +05:30","2026-08-20T08:14:36.515017Z","15181667.0000","53997700.0000","3.556770","7565834.0000","31903750.0000","4.216819","3242500.0000","21694300.0000","6.690609","4323333.0000","103500.0000","0.023940"
"2026-08-20T08:12:00Z","2026-08-20 13:42:00 +05:30","2026-08-20T08:19:17.430898Z","15181667.0000","55113350.0000","3.630257","7565834.0000","32558650.0000","4.303379","3242500.0000","22148850.0000","6.830794","4323333.0000","103500.0000","0.023940"
"2026-08-20T08:15:00Z","2026-08-20 13:45:00 +05:30","2026-08-20T08:24:29.695983Z","15181667.0000","55540800.0000","3.658412","7565834.0000","32786250.0000","4.333461","3242500.0000","22346900.0000","6.891874","4323333.0000","103500.0000","0.023940"
"2026-08-20T08:21:00Z","2026-08-20 13:51:00 +05:30","2026-08-20T08:29:21.302135Z","15181667.0000","57028300.0000","3.756392","7565834.0000","33568500.0000","4.436854","3242500.0000","23047600.0000","7.107972","4323333.0000","103500.0000","0.023940"
"2026-08-20T08:27:00Z","2026-08-20 13:57:00 +05:30","2026-08-20T08:34:24.254379Z","15181667.0000","58001550.0000","3.820499","7565834.0000","34119900.0000","4.509734","3242500.0000","23462600.0000","7.235960","4323333.0000","106300.0000","0.024588"
"2026-08-20T08:30:00Z","2026-08-20 14:00:00 +05:30","2026-08-20T08:39:34.332067Z","15181667.0000","58554200.0000","3.856902","7565834.0000","34420350.0000","4.549446","3242500.0000","23712400.0000","7.312999","4323333.0000","107000.0000","0.024749"
"2026-08-20T08:36:00Z","2026-08-20 14:06:00 +05:30","2026-08-20T08:44:25.011603Z","15181667.0000","63119100.0000","4.157587","7565834.0000","35723450.0000","4.721680","3242500.0000","26967700.0000","8.316947","4323333.0000","107700.0000","0.024911"
"2026-08-20T08:42:00Z","2026-08-20 14:12:00 +05:30","2026-08-20T08:49:13.122786Z","15181667.0000","64169150.0000","4.226753","7565834.0000","36297250.0000","4.797521","3242500.0000","27437700.0000","8.461897","4323333.0000","109800.0000","0.025397"
"2026-08-20T08:45:00Z","2026-08-20 14:15:00 +05:30","2026-08-20T08:54:15.127795Z","15181667.0000","64450800.0000","4.245305","7565834.0000","36450850.0000","4.817823","3242500.0000","27564200.0000","8.500910","4323333.0000","109800.0000","0.025397"
"2026-08-20T08:51:00Z","2026-08-20 14:21:00 +05:30","2026-08-20T08:59:12.911222Z","15181667.0000","65414900.0000","4.308809","7565834.0000","36956250.0000","4.884623","3242500.0000","28016000.0000","8.640247","4323333.0000","110800.0000","0.025628"
"2026-08-20T08:57:00Z","2026-08-20 14:27:00 +05:30","2026-08-20T09:04:06.354884Z","15181667.0000","66441150.0000","4.376407","7565834.0000","37537100.0000","4.961396","3242500.0000","28456100.0000","8.775975","4323333.0000","110800.0000","0.025628"
"2026-08-20T09:00:00Z","2026-08-20 14:30:00 +05:30","2026-08-20T09:09:30.732875Z","15181667.0000","66935450.0000","4.408966","7565834.0000","37806950.0000","4.997063","3242500.0000","28679050.0000","8.844734","4323333.0000","110800.0000","0.025628"
"2026-08-20T09:06:00Z","2026-08-20 14:36:00 +05:30","2026-08-20T09:14:42.287385Z","15181667.0000","68007050.0000","4.479551","7565834.0000","38400450.0000","5.075508","3242500.0000","29149700.0000","8.989884","4323333.0000","112200.0000","0.025952"
"2026-08-20T09:12:00Z","2026-08-20 14:42:00 +05:30","2026-08-20T09:19:15.309487Z","15181667.0000","68919600.0000","4.539660","7565834.0000","38891900.0000","5.140464","3242500.0000","29563550.0000","9.117517","4323333.0000","115700.0000","0.026762"
"2026-08-20T09:18:00Z","2026-08-20 14:48:00 +05:30","2026-08-20T09:24:22.267464Z","15181667.0000","69882450.0000","4.603081","7565834.0000","39456950.0000","5.215149","3242500.0000","29950700.0000","9.236916","4323333.0000","119050.0000","0.027537"
"2026-08-20T09:21:00Z","2026-08-20 14:51:00 +05:30","2026-08-20T09:29:21.548458Z","15181667.0000","70108900.0000","4.617997","7565834.0000","39589950.0000","5.232728","3242500.0000","30042650.0000","9.265274","4323333.0000","119050.0000","0.027537"
"2026-08-20T09:27:00Z","2026-08-20 14:57:00 +05:30","2026-08-20T09:34:18.757843Z","15181667.0000","71082850.0000","4.682151","7565834.0000","40120150.0000","5.302806","3242500.0000","30482350.0000","9.400879","4323333.0000","119050.0000","0.027537"
"2026-08-20T09:30:00Z","2026-08-20 15:00:00 +05:30","2026-08-20T09:39:30.209688Z","15181667.0000","71509650.0000","4.710263","7565834.0000","40352900.0000","5.333569","3242500.0000","30675150.0000","9.460339","4323333.0000","119050.0000","0.027537"
"2026-08-20T09:36:00Z","2026-08-20 15:06:00 +05:30","2026-08-20T09:44:21.759577Z","15181667.0000","72504200.0000","4.775773","7565834.0000","40877700.0000","5.402934","3242500.0000","31137900.0000","9.603053","4323333.0000","122350.0000","0.028300"
"2026-08-20T09:42:00Z","2026-08-20 15:12:00 +05:30","2026-08-20T09:49:18.619626Z","15181667.0000","73405100.0000","4.835115","7565834.0000","41335050.0000","5.463383","3242500.0000","31570250.0000","9.736392","4323333.0000","129050.0000","0.029850"
"2026-08-20T09:45:00Z","2026-08-20 15:15:00 +05:30","2026-08-20T09:54:27.863557Z","15181667.0000","74061100.0000","4.878325","7565834.0000","41571800.0000","5.494675","3242500.0000","31931700.0000","9.847864","4323333.0000","184200.0000","0.042606"
